team_id,era,avg,cur_wins,obp,slg,ops,stolenBases,leftOnBase,runs,whip,runs_against,blownSaves,strikeoutWalkRatio,wins
2013117,4.83,.235,32,.294,.378,.672,53,536,337,1.51,470,11,1.88,51
2014117,4.40,.237,37,.309,.381,.690,75,616,346,1.37,428,15,2.27,70
2015117,3.57,.244,49,.311,.426,.737,68,540,388,1.20,328,12,2.79,86
2016117,3.87,.244,46,.325,.418,.743,64,595,387,1.29,358,11,3.09,84
2017117,3.92,.288,59,.353,.497,.850,51,594,506,1.22,357,10,3.27,101
2018117,2.90,.265,60,.339,.440,.779,48,623,470,1.05,283,10,4.09,103
2019117,3.86,.269,57,.344,.472,.816,42,640,458,1.14,367,11,3.57,107
2021117,3.61,.273,54,.348,.444,.792,28,634,487,1.18,346,14,2.78,95
2022117,3.00,.242,54,.322,.431,.753,40,552,368,1.11,275,6,3.03,106
2023117,3.70,.249,49,.318,.410,.728,64,591,413,1.26,363,13,2.98,90
2024117,4.14,.264,46,.324,.420,.744,58,614,429,1.32,392,14,2.33,88
2013118,3.74,.258,41,.313,.378,.691,66,566,345,1.31,341,12,2.38,86
2014118,3.66,.263,46,.314,.376,.690,71,595,364,1.28,346,7,2.64,89
2015118,3.50,.270,48,.322,.401,.723,48,546,347,1.22,291,9,2.37,95
2016118,4.18,.272,44,.319,.410,.729,49,573,340,1.32,364,10,2.56,81
2017118,4.21,.249,44,.301,.414,.715,43,522,356,1.36,377,8,2.33,80
2018118,5.34,.237,25,.298,.363,.661,40,583,306,1.48,489,13,2.00,58
2019118,5.08,.245,30,.307,.399,.706,84,596,382,1.47,472,14,2.04,59
2021118,5.04,.244,36,.306,.387,.693,57,559,353,1.47,440,14,2.18,74
2022118,4.95,.240,30,.307,.378,.685,47,556,318,1.48,420,11,1.80,65
2023118,5.26,.230,25,.293,.367,.660,75,571,327,1.44,481,12,2.19,56
2024118,3.79,.246,49,.306,.404,.710,78,553,418,1.27,362,12,2.58,86
2013119,3.77,.260,42,.323,.392,.715,44,612,333,1.33,364,16,2.44,92
2014119,3.23,.261,51,.331,.404,.735,84,651,391,1.22,329,7,3.09,94
