team_id,p_runs,p_era,p_whip,p_strikeoutWalkRatio,p_ops,h_ops,h_leftOnBase,h_runs,h_hits,h_avg,wins
2010141,4.517647058823529,4.30,1.34,2.17,.720,.744,6.294117647058823,4.4941176470588236,8.058823529411764,.239,85
2011141,4.53932584269663,4.17,1.37,2.04,.739,.736,6.752808988764045,4.52808988764045,8.775280898876405,.254,81
2012141,4.694117647058824,4.41,1.37,1.94,.764,.749,6.411764705882353,4.929411764705883,8.705882352941176,.254,73
2013141,4.670454545454546,4.18,1.34,2.21,.746,.734,6.363636363636363,4.6022727272727275,8.613636363636363,.251,74
2014141,4.241758241758242,4.00,1.36,2.14,.740,.750,6.945054945054945,4.4945054945054945,8.714285714285714,.256,83
2015141,4.406976744186046,4.16,1.30,2.46,.730,.778,6.069767441860465,5.395348837209302,8.965116279069768,.265,93
2016141,4.181818181818182,3.84,1.24,2.76,.713,.772,6.886363636363637,4.920454545454546,8.556818181818182,.251,89
2017141,4.755813953488372,4.45,1.36,2.64,.753,.726,6.558139534883721,4.162790697674419,8.244186046511627,.244,76
2018141,4.886363636363637,4.57,1.39,2.41,.767,.730,6.443181818181818,4.431818181818182,8.011363636363637,.237,73
2019141,5.241758241758242,4.91,1.45,2.19,.796,.711,6.076923076923077,4.318681318681318,7.791208791208791,.232,67
2021141,4.273809523809524,3.97,1.26,2.92,.722,.783,6.571428571428571,5.214285714285714,9.130952380952381,.267,91
2022141,4.464285714285714,4.13,1.27,3.02,.730,.756,6.857142857142857,4.630952380952381,8.761904761904763,.258,92
2023141,4.168539325842697,3.88,1.25,3.23,.714,.749,7.123595505617978,4.561797752808989,9.044943820224718,.262,89
2024141,4.615384615384615,4.29,1.29,2.78,.740,.683,6.670329670329671,3.989010989010989,7.6923076923076925,.234,74
2008142,4.573033707865169,4.15,1.36,2.49,.762,.738,6.752808988764045,4.898876404494382,9.51685393258427,.276,88
2009142,4.4523809523809526,4.30,1.32,2.34,.749,.763,7.440476190476191,4.75,9.202380952380953,.269,87
